WKT,name,description
"POINT (112.5593683 -8.1476852)",PKBM SUMBER ILMU KEPANJEN,
"POINT (112.5815871 -8.1328952)",SMA Islam Kepanjen,
"POINT (112.5757888 -8.127696499999999)",Sekolah Luar Biasa BC Kepanjen,
"POINT (112.5834834 -8.1307175)",Mushola & Madrasah "Sabilul Huda",
"POINT (112.573916 -8.1334103)",SMK Taman Siswa Kepanjen,
"POINT (112.5807794 -8.1379202)",SMK UTAMA KEPANJEN,
"POINT (112.5763947 -8.1343901)",Paud, SD, SMP, SMK Wahidiyah,
"POINT (112.5792423 -8.139274499999999)",YPAI Nurul Musthofa,
"POINT (112.5811282 -8.132934900000002)",SekolahUlilAlbab,
"POINT (112.580073 -8.1396534)",Sekolah Alam,
"POINT (112.562305 -8.166877)",SD Negeri 2 Kemiri,
"POINT (112.562305 -8.166877)",SD Negeri 2 Kemiri,
"POINT (112.5770708 -8.1668524)",SD NEGERI 2 TEGALSARI,
"POINT (112.57557 -8.165189999999999)",SD Negeri 1 Tegalsari,
"POINT (112.5566305 -8.1714465)",SDN Kemiri 01,
"POINT (112.5688557 -8.1452225)",SD Negeri 4 Panggungrejo,
"POINT (112.5796153 -8.150921199999999)",SD Negeri 2 Kedung Pedaringan,
"POINT (112.567018 -8.13588)",SD Negeri 7 Kepanjen,
"POINT (112.5581509 -8.1469367)",SDN 03 Panggungrejo,
"POINT (112.573343 -8.1335753)",SD Negeri Kepanjen 2,
"POINT (112.5752011 -8.133842399999999)",SD Negeri 3 Kepanjen,
"POINT (112.5661977 -8.130462699999999)",SMP Negeri 4 Kepanjen,
"POINT (112.573201 -8.130514)",SMP Muhammadiyah 3 Kepanjen,
"POINT (112.5709839 -8.1332843)",SMP Islam Kepanjen,
"POINT (112.5753847 -8.1209726)",SMP Negri 1 Kepanjen,
"POINT (112.5640217 -8.1285685)",SMP PGRI 1 Kepanjen,
"POINT (112.5621404 -8.1388837)",SMPN 2 Kepanjen,
"POINT (112.5949538 -8.118517599999999)",SMP Negeri 3 Kepanjen,
"POINT (112.554012 -8.1702929)",SMP Negeri 5 Kepanjen,
"POINT (112.5770088 -8.110642499999999)",SMA Nu Kepanjen,
"POINT (112.5758321 -8.1343524)",SMA Wahidiyah Kepanjen,
"POINT (112.5711649 -8.1233337)",SMA PGRI Kepanjen,
"POINT (112.5815871 -8.1328952)",SMA Islam Kepanjen,
"POINT (112.5723184 -8.1246415)",SMAN 1 KEPANJEN,
"POINT (112.573916 -8.1334103)",SMK Taman Siswa Kepanjen,
"POINT (112.5857914 -8.1426587)",SMKN 1 Kepanjen,
"POINT (112.573916 -8.1334103)",SMK Taman Siswa Kepanjen,
"POINT (112.5754452 -8.1319154)",SMK Muhammadiyah 1 Kepanjen,
"POINT (112.5807794 -8.1379202)",SMK UTAMA KEPANJEN,
"POINT (112.586817 -8.135704)",SMK Islam Kepanjen,
"POINT (112.5631453 -8.1284115)",BUDI UTOMO VOCATIONAL HIGH SCHOOL,
"POINT (112.5735833 -8.1175872)",SMK Industri Al Kaaffah,
"POINT (112.5823857 -8.0983023)",Cendika Bangsa Vocational School,
"POINT (112.582447 -8.098327)",Universitas Islam Raden Rahmat,
